Z,AtomicMass,AtomicRadius,BoilingPoint,Density,Electronegativity,IonizationEnergies,MeltingPoint,MolarVolume,Phase,DiscoveryYear,Block,StableIsotopes,HumanAbundance,ElectronAffinity,ThermalConductivity,ElectricalConductivity,MohsHardness
87,0.1817455394525026,-1,-1,-1,0.75,0.7453683998953338,-1,-1,0.75,0.1417137096774197,0.75,-1,-1,-1,-1,-1,-1
88,0.17406615046155172,-1,0.49348415070597595,0.5839996680641947,0.7042682926829267,0.6261766305840357,0.5611502858913036,0.5456682258413021,0.75,0.22354838709677471,0.75,-1,0.75,-1,0.7168664834604773,0.7379032258064516,-1
89,0.17150635413123483,-1,0.3063975188109661,0.41567230495529944,0.6585365853658536,0.6344917769663705,0.4922370928871084,0.6066608682625532,0.75,0.22155241935483905,0.,-1,-1,-1,0.7290758882882714,-1,-1
90,0.15860994663131822,-1,0.09923392095046313,0.36075840779906415,0.6128048780487804,0.5683899545060656,0.35441070687871806,0.6180689970841385,0.75,0.4321084337349408,0.,0.,-1,-1,0.6558194593215072,0.6689516129032258,0.5192307692307692
91,0.1611753745135619,-1,0.20409450752182878,0.23970878927933403,0.5670731707317072,0.5817811123955097,0.38945798789228014,0.6421876930942821,0.75,0.19360887096774237,0.,-1,-1,-1,0.6680288641493013,0.682258064516129,-1
92,0.14327459078583904,-1,0.21342965730196262,0.11753034820621078,0.5945121951219512,0.5611062375101845,0.4755010317289467,0.6583917538362783,0.75,0.5252754820936639,0.,-1,0.44564426020823206,-1,0.7029128779429985,0.7064516129032258,0.271978021978022
93,0.1459083908280655,-1,0.20409450752182878,0.07104941953708788,0.5990853658536583,0.5564340464100503,0.5721763967719748,0.6649887201097574,0.75,0.13971774193548403,0.,-1,-1,-1,0.7395410924263806,0.7399596774193549,-1
94,0.12798981651584684,-1,0.30256115588762345,0.09209864009153357,0.6173780487804876,0.5699877430335216,0.5729639761205942,0.659675811456949,0.75,0.13971774193548403,0.,-1,-1,-1,0.7395410924263806,0.7418951612903226,-1
95,0.13054961284616384,-1,0.4584453693394464,0.2961499169489833,0.6128048780487804,0.5746782444550536,0.46742834340559813,0.6274852365505592,0.75,0.13173387096774203,0.,-1,-1,-1,0.7325642896676411,-1,-1
96,0.12031042752489607,-1,0.31790660758099404,0.30146202308259734,0.6128048780487804,0.5725713337815095,0.4341531159264296,0.6250216775345685,0.75,0.13173387096774203,0.,-1,-1,-1,-1,-1,-1
